id,district_id,region_id,district_name(en),region_name(en),gender_category,age_category,population_count
1,,,,,0,1,6407128
2,,,,,0,2,1759412
3,,,,,0,3,2974915
4,,,,,0,4,2633218
5,,,,,0,5,2004499
6,,,,,0,6,2859523
7,,,,,1,1,6884143
8,,,,,1,2,1854046
9,,,,,1,3,3094417
10,,,,,1,4,2649217
11,,,,,1,5,1947078
12,,,,,1,6,2475571
13,,,,,0,1,335059
14,,,,,0,2,105408
15,,,,,0,3,160668
16,,,,,0,4,150878
17,,,,,0,5,112512
18,,,,,0,6,145378
19,,,,,1,1,354760
20,,,,,1,2,110407
21,,,,,1,3,165669
22,,,,,1,4,154023
23,,,,,1,5,109864
24,,,,,1,6,125092
25,7,1,Nukus District,Amudaryo,0,1,52130
26,7,1,Nukus District,Amudaryo,0,2,17008
27,7,1,Nukus District,Amudaryo,0,3,28905
28,7,1,Nukus District,Amudaryo,0,4,27416
29,7,1,Nukus District,Amudaryo,0,5,20877
30,7,1,Nukus District,Amudaryo,0,6,27909
31,7,1,Nukus District,Amudaryo,1,1,55411
32,7,1,Nukus District,Amudaryo,1,2,17336
33,7,1,Nukus District,Amudaryo,1,3,28290
34,7,1,Nukus District,Amudaryo,1,4,27860
35,7,1,Nukus District,Amudaryo,1,5,19510
36,7,1,Nukus District,Amudaryo,1,6,22038
37,1,1,Amudaryo District,Amudaryo,0,1,37800
38,1,1,Amudaryo District,Amudaryo,0,2,11652
39,1,1,Amudaryo District,Amudaryo,0,3,15209
40,1,1,Amudaryo District,Amudaryo,0,4,15042
41,1,1,Amudaryo District,Amudaryo,0,5,11258
42,1,1,Amudaryo District,Amudaryo,0,6,15254
43,1,1,Amudaryo District,Amudaryo,1,1,39235
44,1,1,Amudaryo District,Amudaryo,1,2,12564
45,1,1,Amudaryo District,Amudaryo,1,3,17408
46,1,1,Amudaryo District,Amudaryo,1,4,15795
47,1,1,Amudaryo District,Amudaryo,1,5,11169
48,1,1,Amudaryo District,Amudaryo,1,6,13270
49,2,1,Beruniy District,Amudaryo,0,1,36970
50,2,1,Beruniy District,Amudaryo,0,2,10306
51,2,1,Beruniy District,Amudaryo,0,3,16815
52,2,1,Beruniy District,Amudaryo,0,4,14937
53,2,1,Beruniy District,Amudaryo,0,5,11276
54,2,1,Beruniy District,Amudaryo,0,6,13531
55,2,1,Beruniy District,Amudaryo,1,1,38999
56,2,1,Beruniy District,Amudaryo,1,2,10182
