Year,Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,Value,women,men,>18,18-25,26-35,36-45,46-55,56+,Women under 18,Women 18-25,Women 26-35,Women 36-45,Women 46-55,Women 56+,Men under 18,Men 18-25,Men 26-35,Men 36-45,Men 46-55,Men 56+,ref_name_uz,ref_name_en,ref_name_ru,ref_code,ref_region_id
2010,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,28001400,,14015000,,,,,,,,,,,,,,,,,,,,,,,
2011,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,29123400,,14568400,,,,,,,,,,,,,,,,,,,,,,,
2012,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,29555400,,14792500,,,,,,,,,,,,,,,,,,,,,,,
2013,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,29993500,,15018700,10303877,4487438,5269620,3750079.0,3006559.0,3175959.0,5007937,2205419,2622051,1895543.0,1543257.0,1700562.0,5295940,2282019,2647569,1854536.0,1463303.0,1475397.0,,,,,
2014,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,30492800,15215300,15277500,10317740,4502577,5445044,3811757.0,3096546.0,3319149.0,5009233,2210486,2706456,1925138.0,1587527.0,1776505.0,5308507,2292091,2738588,1886620.0,1509019.0,1542644.0,,,,,
2015,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,31022500,15470300,15552200,10401904,4496856,5585122,3897226.0,3176075.0,3465342.0,5046180,2204859,2772413,1965111.0,1627293.0,1854447.0,5355724,2291997,2812709,1932116.0,1548782.0,1610896.0,,,,,
2016,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,31575300,15736400,15838900,10531638,4436924,5747842,3981531.0,3256739.0,3620659.0,5103637,2173639,2849922,2003549.0,1667831.0,1937842.0,5428001,2263285,2897920,1977982.0,1588908.0,1682817.0,,,,,
2017,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,32120500,15999500,16121000,10706435,4293361,5922639,4077443.0,3337267.0,3783319.0,5183488,2099865,2934626,2048125.0,1707907.0,2025496.0,5522947,2193496,2988013,2029318.0,1629361.0,1757823.0,,,,,
2018,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,32656700,16258800,16397900,10876996,4158093,6075603,4197410.0,3403727.0,3944831.0,5261002,2032768,3005530,2106877.0,1740909.0,2111684.0,5615994,2125325,3070073,2090533.0,1662818.0,1833147.0,,,,,
2019,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,33255500,16544900,16710600,11117892,4024537,6190445,4322754.0,3467692.0,4132219.0,5369360,1966226,3056994,2167658.0,1772389.0,2212334.0,5748532,2058311,3133451,2155096.0,1695303.0,1919885.0,,,,,
2020,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,33905200,16859900,17045300,11418448,3901507,6250004,4476660.0,3540290.0,4318334.0,5510888,1904979,3082499,2242790.0,1807585.0,2311214.0,5907560,1996528,3167505,2233870.0,1732705.0,2007120.0,,,,,
2021,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,34558900,17180500,17378400,11726897,3777468,6299589,4648807.0,3606312.0,4499819.0,5657544,1842461,3101227,2327588.0,1839205.0,2412454.0,6069353,1935007,3198362,2321219.0,1767107.0,2087366.0,,,,,
2022,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,35271300,17527100,17744200,12118986,3661226,6287644,4824461.0,3676412.0,4702567.0,5846139,1785362,3090850,2411929.0,1872878.0,2519980.0,6272847,1875864,3196794,2412532.0,1803535.0,2182588.0,,,,,
2023,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,36024900,17896300,18128600,12506978,3606616,6244250,4997287.0,3756335.0,4913482.0,6031421,1758619,3065009,2497322.0,1911106.0,2632893.0,6475557,1847997,3179241,2499965.0,1845229.0,2280590.0,,,,,
2024,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,36799800,18274800,18525000,12928189,3594760,6153199,5152457.0,3845354.0,5125813.0,6233231,1751711,3017261,2572209.0,1954047.0,2746293.0,6694958,1843049,3135938,2580248.0,1891307.0,2379520.0,,,,,
2025,1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,37543200,18638700,18904500,13291271,3613458,6069332,5282435.0,3951577.0,5335094.0,6407128,1759412,2974915,2633218.0,2004499.0,2859523.0,6884143,1854046,3094417,2649217.0,1947078.0,2475571.0,,,,,
2010,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1632000,,820100,,,,,,,,,,,,,,,,,,,,,,,
2011,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1680900,,839900,,,,,,,,,,,,,,,,,,,,,,,
2012,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1692800,,846500,,,,,,,,,,,,,,,,,,,,,,,
2013,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1711800,,856500,605428,259749,315802,212198.0,160356.0,158266.0,296259,128525,156166,107577.0,83014.0,83806.0,309169,131224,159636,104622.0,77342.0,74460.0,,,,,
2014,1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1736500,867200,869300,610029,252180,326305,216997.0,165616.0,165348.0,298222,124821,161018,109828.0,85597.0,87744.0,311807,127359,165287,107170.0,80019.0,77604.0,,,,,
